"X","Y","DateTime"
"1103.3","460.7","291964372225"
"1104.3","457.5","291964380517"
"1118.4","457.7","291964388892"
"1113.8","480.3","291964397174"
"1093.5","479.2","291964405535"
"1093.5","479.2","291964413958"
"1119.8","508.8","291964422482"
"1110.9","509.0","291964430643"
"1115.0","490.6","291964438879"
"1107.9","487.5","291964447253"
"1122.3","501.9","291964455771"
"1120.8","510.4","291964463816"
"1117.3","505.4","291964472381"
"1100.1","481.2","291964480548"
"1080.3","482.9","291964489018"
"1092.3","469.0","291964497205"
"1103.0","514.3","291964505509"
"1131.6","484.7","291964513907"
"1121.7","503.3","291964522337"
"1111.0","482.6","291964530409"
"1077.1","465.6","291964539001"
"1091.9","452.8","291964547059"
"1104.7","470.2","291964555573"
"1138.6","464.3","291964563837"
"1118.1","478.0","291964572197"
"1122.2","464.0","291964580645"
"1118.8","516.5","291964588883"
"1122.4","498.3","291964597252"
"1117.6","481.5","291964605591"
"1115.7","460.8","291964613879"
"1109.5","460.7","291964622590"
"1106.0","480.1","291964630600"
"1105.5","495.7","291964638862"
"1108.4","493.3","291964647269"
"1114.1","489.8","291964655525"
"1112.3","482.7","291964663785"
"1117.6","482.3","291964672214"
"1121.7","473.8","291964680514"
"1137.2","477.8","291964688955"
"1139.1","474.3","291964697259"
"1132.6","495.0","291964705518"
"1123.9","496.8","291964713885"
"1113.2","490.2","291964722361"
"1103.7","468.3","291964730423"
"1116.5","467.7","291964738857"
"1124.5","466.3","291964747155"
"1128.1","470.0","291964755586"
"1117.0","476.7","291964763770"
"1105.0","490.3","291964772185"
"1098.1","462.3","291964780467"
"1098.1","469.3","291964788875"
"1097.1","477.8","291964797243"
"1092.4","479.9","291964805525"
"1109.5","481.2","291964813757"
"1108.7","490.2","291964822382"
"1110.3","468.0","291964830574"
"1110.5","469.0","291964838866"
"1119.2","468.6","291964847202"
"1126.9","471.3","291964855472"
"1106.7","463.7","291964863877"
"1090.2","470.6","291964872138"
"1090.2","470.6","291964880509"
"1107.3","488.6","291964889105"
"1107.7","492.7","291964897174"
"1100.9","477.9","291964905580"
"1089.2","484.1","291964913835"
"1088.8","467.2","291964922215"
"1075.6","437.7","291964930548"
"1080.4","449.6","291964938840"
"1093.2","449.7","291964947081"
"1106.0","452.1","291964955577"
"1116.5","462.3","291964963821"
"1099.5","476.8","291964972312"
"1102.5","483.1","291964980537"
"1091.3","480.9","291964988871"
"1106.9","477.8","291964997240"
"1080.3","487.4","291965005499"
"1056.4","525.9","291965013850"
"1024.3","568.1","291965022263"
"1030.8","632.1","291965030588"
"1034.3","710.8","291965038798"
"1046.9","684.9","291965047174"
"1037.9","690.0","291965055549"
"1030.0","686.5","291965063774"
"1006.6","715.1","291965072350"
"1022.9","693.4","291965080522"
"1024.5","690.0","291965088801"
"1024.5","690.0","291965097137"
"1029.5","662.6","291965105532"
"1011.6","669.6","291965113850"
"996.7","681.6","291965122124"
"1018.6","702.3","291965130424"
"1012.5","695.4","291965138780"
"1019.9","676.0","291965147194"
"995.2","821.0","291965497157"
"978.5","825.2","291965505460"
"978.5","825.2","291965513731"
"983.6","752.8","291965522083"
"1004.1","740.9","291965530490"
"1031.4","789.6","291965538731"
"1040.9","847.4","291965547132"
"1029.9","891.0","291965555419"
"995.1","908.3","291965563695"
"1023.9","896.2","291965572011"
"976.9","887.5","291965580486"
"1028.5","894.7","291965588709"
"1027.7","880.7","291965597139"
"1046.4","886.3","291965605284"
"1062.2","885.5","291965613704"
"1074.5","892.6","291965621998"
"1097.6","919.4","291965630424"
"1102.1","972.2","291965638752"
"1102.1","972.2","291965647073"
"1097.2","919.5","291965655336"
"1093.2","893.4","291965663675"
"1099.9","886.7","291965671938"
"1086.7","881.5","291965680250"
"1093.3","899.8","291965688628"
"1099.2","883.7","291965697210"
"1098.1","885.5","291965705301"
"1077.7","849.6","291965713864"
"1069.3","837.8","291965722030"
"1069.3","837.7","291965730426"
"1070.8","839.6","291965746949"
"1059.0","775.8","291965755361"
"1035.0","715.4","291965763872"
"998.8","567.8","291965772005"
"999.8","539.6","291965780346"
"1025.1","478.1","291965788608"
"1036.1","440.7","291965796896"
"1058.1","449.8","291965805361"
"1066.9","447.2","291965813650"
"1068.9","439.7","291965822175"
"1075.3","437.0","291965830452"
"1062.8","469.6","291965838693"
"1067.5","470.5","291965847099"
"1075.0","449.8","291965855278"
"1075.8","430.9","291965863746"
"1069.5","428.6","291965872033"
"1064.6","430.6","291965880410"
"1082.5","452.0","291965888776"
"1085.5","433.5","291965897091"
"1085.8","431.9","291965905288"
"1086.4","419.7","291965913759"
"1094.2","461.0","291965922012"
"1093.4","460.7","291965930521"
"1100.0","473.0","291965938700"
"1099.5","441.0","291965947088"
"1098.1","436.3","291965955412"
"1064.4","414.0","291965963759"
"1085.0","465.8","291965972092"
"1065.2","451.7","291965980418"
"1065.2","451.7","291965988626"
"1066.5","454.3","291965997139"
"1065.8","454.0","291966005335"
"1056.2","446.0","291966013735"
"1064.0","450.7","291966022094"
"1062.1","449.4","291966030395"
"1074.5","453.2","291966038673"
"1076.4","465.6","291966047131"
"1078.7","491.5","291966055395"
"1078.8","491.4","291966063824"
"1068.6","425.5","291966071970"
"1061.4","440.1","291966080415"
"1069.8","444.1","291966088680"
"1089.6","444.3","291966097088"
"1089.6","444.3","291966105460"
"1052.7","451.3","291966113754"
"1050.4","438.0","291966122000"
"1052.9","417.1","291966130401"
"1066.8","437.7","291966138722"
"1069.8","441.3","291966146987"
"1074.5","446.0","291966155314"
"1046.6","437.0","291966163847"
"1084.0","430.4","291966172097"
"1069.6","438.8","291966180510"
"1076.4","451.5","291966188631"
"1076.3","459.9","291966197094"
"1093.5","462.6","291966205269"
"1046.1","425.0","291966213834"
"1048.0","426.0","291966222113"
"1062.1","443.9","291966230490"
"1085.3","459.6","291966238696"
"1077.6","451.1","291966246916"
"1084.9","453.4","291966255266"
"1062.7","449.6","291966263605"
"1071.7","457.3","291966271888"
"1062.3","446.1","291966280388"
"1064.3","436.8","291966288681"
"1073.7","526.9","291966563788"
"1086.6","494.0","291966571949"
"1059.0","543.8","291966580258"
"1040.2","532.3","291966588560"
"1026.6","513.5","291966597011"
"1025.3","480.8","291966605181"
"1004.7","467.1","291966613669"
"1045.5","467.4","291966622027"
"1052.1","464.7","291966630333"
"1005.4","546.6","291966638564"
"1005.4","546.6","291966646875"
"1053.4","499.2","291966655226"
"1051.1","539.2","291966663662"
"1051.1","539.2","291966671897"
"1042.1","545.9","291966680391"
"1076.9","607.3","291966688504"
"1040.4","491.6","291966697000"
"1059.0","607.2","291966705183"
"1049.0","552.9","291966713670"
"1046.7","557.0","291966721972"
"1046.7","557.0","291966730343"
"1072.0","562.4","291966738626"
"1072.1","546.9","291966746948"
"1055.9","536.6","291966755350"
"1049.3","547.4","291966763734"
"1055.8","561.3","291966771869"
"1063.4","547.4","291966780353"
"1063.4","547.4","291966788589"
"1080.5","548.3","291966796835"
"1079.0","558.0","291966805194"
"1072.6","563.1","291966813672"
"1060.5","568.7","291966821819"
"1060.3","565.3","291966830329"
"1072.2","560.8","291966838430"
"1080.1","539.2","291966847015"
"1077.9","524.6","291966855168"
"1082.8","531.6","291966863767"
"1092.7","539.2","291966871840"
"1093.6","533.0","291966880403"
"1091.4","534.1","291966888667"
"1067.3","572.5","291966896986"
"1069.3","584.9","291966905277"
"1067.0","589.4","291966913673"
"1072.0","560.1","291966921803"
"1076.2","534.2","291966930390"
"1067.7","529.3","291966938461"
"1069.7","523.8","291966946995"
"1054.9","504.1","291966955206"
"1082.3","522.7","291966963572"
"1069.5","492.5","291966971792"
"1076.2","504.8","291966980294"
"1088.6","490.7","291966988562"
"1085.3","486.2","291966996869"
"1081.9","477.5","291967005233"
"1067.3","467.9","291967013667"
"1071.2","477.5","291967021831"
"1076.7","471.4","291967030238"
"1070.7","482.5","291967038509"
"1070.3","480.4","291967046952"
"1058.8","500.3","291967055373"
"1098.2","470.4","291967063625"
"1082.6","476.9","291967071826"
"1084.9","455.7","291967080286"
"1072.5","448.9","291967088608"
"1093.7","471.2","291967096989"
